Red,Blue,Green,Class
62.474133333333334,62.06648888888889,88.9632,1
27.0400892582333,28.030701754385966,57.77746999076639,1
67.966,67.2028,94.2264,1
248.0,248.0,248.0,1
49.99992305324715,49.99992305324715,49.99992305324715,1
84.08101120367711,83.97112898592358,46.567150244182706,1
32.03635191430272,31.028218607419163,72.54393969450506,1
250.0,249.0,254.0,1
55.000216262975776,55.043090397923876,62.91106185121107,1
250.0,251.0,246.0,1
34.245152354570635,33.933518005540165,60.433518005540165,1
75.55548469387755,76.45758928571429,70.7720025510204,1
111.3853550295858,110.55029585798816,58.60207100591716,1
250.0,250.0,250.0,1
249.0,250.0,254.0,1
81.98765432098766,82.98456790123457,65.51851851851852,1
63.12006427915519,63.97578053259871,83.88544536271809,1
100.0988,101.1708,84.4808,1
97.0029296875,96.92654079861111,63.269314236111114,1
58.011204164780445,57.93141693073789,50.15912177455862,1
37.8834940312213,38.11685032139577,71.63205922865014,1
82.74134948096886,82.77595155709342,59.50173010380623,1
251.0,250.0,245.0,1
37.12432861328125,37.9122314453125,59.04840087890625,1
40.0748,41.0884,70.4832,1
52.015029585798814,51.93029585798816,63.77775147928994,1
25.13286130778842,25.03102873802582,78.50655976676384,1
86.478515625,86.0107421875,67.1015625,1
78.85549399815328,78.0842566943675,57.160203139427516,1
250.0,250.0,252.0,1
100.46260387811634,101.24445983379502,96.08864265927978,1
28.493827160493826,27.606666666666666,68.80604938271605,1
33.510355029585796,33.31065088757396,55.32692307692308,1
45.014332473715534,43.95204324538782,61.75768696687165,1
65.0008,65.0008,63.004,1
250.0,250.0,250.0,1
249.0,251.0,250.0,1
30.115114795918366,30.169005102040817,62.89126275510204,1
56.0085197710718,56.02328303850156,65.88169875130073,1
73.0700183654729,73.90105601469237,58.30211202938476,1
93.80999342537804,93.91584483892176,56.919789612097304,1
249.0,250.0,254.0,1
250.0,250.0,248.0,1
68.9804,68.9804,68.9804,1
86.87269619500594,86.98989298454221,61.22584720570749,1
86.0071540062435,85.93671956295526,60.11433402705515,1
251.5,253.25,248.0,1
249.0,251.0,248.0,1
49.00051652892562,48.047262396694215,61.98928202479339,1
54.67881944444444,55.203125,72.22916666666667,1
47.1325,47.979166666666664,67.63972222222222,1
250.0,250.0,252.0,1
250.0,250.0,250.0,1
250.0,250.0,252.0,1
105.81142857142858,105.74775510204081,74.08979591836734,1
79.9859693877551,80.70663265306122,67.24872448979592,1
47.014033064206075,46.02768166089965,61.73029603998462,1
250.0,250.0,252.0,1
75.99810964083176,76.90170132325142,72.18336483931947,1
